"A1","A11","A12","A2","A3","A4","A6","A7","A8","A9","C10","C11","C12","C2","C3","C4","C6","C7","C8","C9","E1","E10","E11","E12","E3","E5","E6","E7","E8","E9","EA1","EA10","EA11","EA12","EA3","EA4","EA5","EA6","EA8","EA9","V1","V10","V11","V12","V2","V4","V6","V7","V8","V9","VA1","VA10","VA11","VA12","VA2","VA3","VA4","VA5","VA6","VA7"
117796.15,309936.96,68357.3,171006.5,137916.18,78773.73,123453.89,141183.01,130350.71,90720.41,200153.2,170580.25,236885.98,179381.47,123243.52,157552.44,119147.68,184861.12,114202.17,265453.8,286704,272066.67,133969.27,96302.72,82702.42,161366.79,118912.09,111010.69,112290.59,97014.18,105760.96,135264.16,113570.13,66771.78,69606.3,65079.97,85863.59,141889.32,211388.18,162163.95,131579.9,297627.17,244033.66,319564.62,169121.71,142727.39,350985.8,233694.14,270731.11,196828.36,77953.45,116626.42,82311.55,143014.69,92591.05,113615.94,108155.03,147876.37,113407.45,152651.84
33629.35,82859.15,22088.05,43104.36,48994.37,22856.08,33417.04,34881.43,46098.91,27123.74,46614.98,38839.8,50285.11,40104.65,24642.29,33790.91,38124.13,42844.65,36301.11,56008.69,86173.94,96472.95,45312.95,27641.06,26332.55,50357.79,34045.01,37170.29,34597.83,29486.48,37910.03,52082.71,34801.09,25200.37,25565.01,21124.46,31717.55,56693.16,82449.22,59240.16,37889.6,78116.41,70335.17,88165.1,50033.48,37695.38,106768.86,70060.76,82361.97,54514.95,18802.47,38607.16,27120.92,36148.07,27944.17,32478.23,34333.12,36869.34,33731.99,37485.4
24552.12,54802.56,16191.92,30573.72,31487.84,17775.02,25931.83,24437.87,29538.53,21261.06,33504.45,29714.06,38474.01,31156.41,20227.59,25598.4,25564.71,32150.65,23803.36,43900.94,53625.01,60930.86,28234,18024.84,16883.29,34589.08,22117.03,23621.64,21297.81,20280.14,21977.35,28526.3,23745.1,15390.47,15703.55,14223.21,20324.68,30864.54,49693.75,38479.66,20510.28,42283.03,41970.64,50340.21,29715.3,22820.99,57322.64,42269.74,47812.7,31800.72,13609,22936.49,15826.96,21929.26,17169.43,21820.25,21212.13,23223.68,22322.09,23423.59
28037.24,79524.96,16203.04,41003.13,38200.82,16664.4,28649.82,33776.57,34681.5,19843.45,43438.79,36532.71,54089.38,38031.95,26986.17,32833.71,27044.48,39403.02,26189.34,60595.86,59655.38,69814.75,33599.84,20976.11,19152,33646.7,25145.88,29236.9,24623.96,20884.88,31084.24,43541.32,25115.69,20468.65,21534.48,16139.19,24198.2,45670.66,66930.79,46046.34,33196.88,70448.73,60719.39,81104.62,42732.07,34079.39,92352.95,59610.67,66993.77,49640.57,16260.37,25768.4,18116.59,31106.84,22538.6,26278.57,22329.88,33346.15,25782.69,33601.58
11383.81,35639.04,5759.71,18218.16,14433.13,6097.57,11262.14,15221.69,13373.2,7259.25,20055.12,14718.59,24960.9,15097.87,12239.72,15698.65,10396.83,15900.4,10028.06,27899.12,20733.74,24394.06,12177.69,7557.62,6738.69,11756.03,9071.25,10786.61,8884.38,7393.95,12124.23,17347.64,9009.22,7986.44,8191.47,5861.37,8866.47,17928.7,25128.39,17034.21,16016.69,33474.74,27268.68,37125.5,19756.19,15948.55,43890.82,27370.8,28694.08,22760.24,7780.01,9112.37,6548.2,14708.5,9842.4,11098.59,7551.22,15442.76,10784.68,15913.97
16936.67,22017.24,12413.14,13211.6,19793.24,14454.93,19746.25,9578,19078.91,16997.58,16283.56,18342.37,14414.93,19360.16,8736.31,11601.53,17165.71,20440.98,16394.42,17431.29,37749.09,41583.14,19176.01,13764.56,11629.92,20262.48,15882.54,16533.69,14698.48,11251.03,13491.3,17218.61,15322.41,10538.02,10690.09,10018.88,12970.84,17627.69,32770.11,24676.43,6622.56,12941.21,18744.1,20353.06,12821.45,8169.95,20008.96,17507.43,20659.77,12334.71,5047.25,13651.39,8959.47,4718.89,8707.01,12398.42,12901.95,4764.14,12969.91,4211.03
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,1,85.67,3,0,0,52.33,0,0,0,0,0,0,0,0,0,7,10,25,66.67,0,31.33,0,5,41.67,41,42,0,4,0,10,0,12,0,13,32.67,13
65,24,27,58,60,0,37,16,50,32,0,0,0,0,10,7,0,0,0,0,13,197,4,2,5,22.67,0,57,0,2.33,5,13,3,98,64,86,179,9,317,330,58,19,36.67,41,108.83,57,176,180.67,69,8,0,15,5,7,16,16,0,12,11.67,0
3849.65,6169.76,3467.31,3573.7,7239.65,4231.96,4227.81,2631.34,6852.4,4987.56,3228.42,4066.55,2510.38,4219.31,1573.18,2040.69,7110.47,4453.94,6731.21,3307.56,17369.55,16918.42,8291.25,5476.2,5277.45,9064.75,6735.31,6648.08,7410.48,4766.07,5576,6955.92,5671.35,3300.29,3210.78,2890.29,4143.49,7183.33,10968.27,8124.41,1360.8,2013.31,5084.38,3412.45,3352.76,1564.59,4620.92,4565.99,5818.25,3240.65,1436.13,7594.66,5103.2,1407.47,2072.55,3285.86,7117.7,1533.37,3413.19,1379.73
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,0,6,0,0,3,11,0,0,0,0,0,0,9,0,0,0,0
