"to","from","weight","color","weight_abs","target_species","source_species","Treatment","from_Kingdom","from_Phylum","from_Class","from_Order","from_Family","from_Genus","from_Species","to_Kingdom","to_Phylum","to_Class","to_Order","to_Family","to_Genus","to_Species"
"daffe057d8fc9e5aa558f9e22c0da432","95a7e70fb332ba3cda224b5fa86471f2",0.0353,"darkblue",0.0353,"Genus:Ohtaekwangia","Genus:Pseudolabrys","AMF","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Genus:Pseudolabrys","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ohtaekwangia","Genus:Ohtaekwangia"
"daffe057d8fc9e5aa558f9e22c0da432","5cbf299bc5e84aa98007f6e2fbbffaa5",-0.0682,"red",0.0682,"Genus:Ohtaekwangia","Family:Labraceae","AMF","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Labraceae","Family:Labraceae","Family:Labraceae","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ohtaekwangia","Genus:Ohtaekwangia"
"daffe057d8fc9e5aa558f9e22c0da432","cad66b29b87082788e44668ef14b8b72",-0.00173,"red",0.00173,"Genus:Ohtaekwangia","Genus:Dyella","AMF","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella","Genus:Dyella","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ohtaekwangia","Genus:Ohtaekwangia"
"dbda651e889dbe3c5b9b471084c9b5b0","48ccf1e2969896d59252679ec29a8aa2",-0.00756,"red",0.00756,"Genus:Chryseolinea","Genus:Singulisphaera","Vermont_AMF","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Chryseolinea","Genus:Chryseolinea","Bacteria","Planctomycetota","Planctomycetia","Isosphaerales","Isosphaeraceae","Singulisphaera","Genus:Singulisphaera"
"dbda651e889dbe3c5b9b471084c9b5b0","b5be84a0cc56de3a1a79785a365f070d",-0.0265,"red",0.0265,"Genus:WHSN01","Genus:Singulisphaera","EBPR_AMF","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","UBA2999","WHSN01","Genus:WHSN01","Bacteria","Planctomycetota","Planctomycetia","Isosphaerales","Isosphaeraceae","Singulisphaera","Genus:Singulisphaera"
"dbda651e889dbe3c5b9b471084c9b5b0","ab83f39d249e07a8dd0924b08781a29f",0.129,"darkblue",0.129,"Genus:Singulisphaera","Genus:Paraburkholderia","EBPR","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia","Genus:Paraburkholderia","Bacteria","Planctomycetota","Planctomycetia","Isosphaerales","Isosphaeraceae","Singulisphaera","Genus:Singulisphaera"
"dcaa56491d749ca0e1cbc91a2a3d3755","48ccf1e2969896d59252679ec29a8aa2",0.079,"darkblue",0.079,"Genus:Chryseolinea","Genus:Methylovorus","Vermont_AMF","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Chryseolinea","Genus:Chryseolinea","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylovorus","Genus:Methylovorus"
"dcaa56491d749ca0e1cbc91a2a3d3755","0fe129715f2638c56da85e85b1e40bb2",0.17,"darkblue",0.17,"Genus:Methylovorus","Family:Moraxellaceae","Vermont_AMF","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Family:Moraxellaceae","Family:Moraxellaceae","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylovorus","Genus:Methylovorus"
"dcaa56491d749ca0e1cbc91a2a3d3755","5f17e4af39186c5822db6c135bb7c744",0.116,"darkblue",0.116,"Genus:Methylovorus","Genus:Solimonas","Vermont","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Nevskiaceae","Solimonas","Genus:Solimonas","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylovorus","Genus:Methylovorus"
"e7bf2a788b40fcc8bda3b670c9b7bd7b","b9e0a77b480dc9669c2b71646742f168",-0.00122,"red",0.00122,"Family:Stappiaceae","Genus:GCA-2770975","EBPR","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Family:Stappiaceae","Family:Stappiaceae","Bacteria","Cyanobacteria","Sericytochromatia","UBA7694","UBA7694","GCA-2770975","Genus:GCA-2770975"
"e7bf2a788b40fcc8bda3b670c9b7bd7b","123e950130b49f3692b2898d9a43ef9c",-0.0262,"red",0.0262,"Genus:OLB10","Genus:GCA-2770975","EBPR","Bacteria","Bacteroidota","Bacteroidia","AKYH767-A","OLB10","OLB10","Genus:OLB10","Bacteria","Cyanobacteria","Sericytochromatia","UBA7694","UBA7694","GCA-2770975","Genus:GCA-2770975"
"e7bf2a788b40fcc8bda3b670c9b7bd7b","dcaa56491d749ca0e1cbc91a2a3d3755",0.0847,"darkblue",0.0847,"Genus:GCA-2770975","Genus:Methylovorus","EBPR_AMF","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylovorus","Genus:Methylovorus","Bacteria","Cyanobacteria","Sericytochromatia","UBA7694","UBA7694","GCA-2770975","Genus:GCA-2770975"
"e7bf2a788b40fcc8bda3b670c9b7bd7b","6472eb8b1e09f892aca2f23182962903",0.0888,"darkblue",0.0888,"Genus:GCA-2770975","Genus:Bradyrhizobium","EBPR_AMF","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Genus:Bradyrhizobium","Bacteria","Cyanobacteria","Sericytochromatia","UBA7694","UBA7694","GCA-2770975","Genus:GCA-2770975"
"e7bf2a788b40fcc8bda3b670c9b7bd7b","5cbf299bc5e84aa98007f6e2fbbffaa5",0.0516,"darkblue",0.0516,"Genus:GCA-2770975","Family:Labraceae","EBPR","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Labraceae","Family:Labraceae","Family:Labraceae","Bacteria","Cyanobacteria","Sericytochromatia","UBA7694","UBA7694","GCA-2770975","Genus:GCA-2770975"
"e7bf2a788b40fcc8bda3b670c9b7bd7b","3d5eeda3774194ca21d0b4dafe24f075",0.0219,"darkblue",0.0219,"Genus:GCA-2770975","Genus:Gemmata","EBPR","Bacteria","Planctomycetota","Planctomycetia","Gemmatales","Gemmataceae","Gemmata","Genus:Gemmata","Bacteria","Cyanobacteria","Sericytochromatia","UBA7694","UBA7694","GCA-2770975","Genus:GCA-2770975"
"e7bf2a788b40fcc8bda3b670c9b7bd7b","703bf3fd1a8e40f08082ba6f9d6e942b",0.202,"darkblue",0.202,"Genus:GCA-2770975","Genus:Caulifigura","EBPR_AMF","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae","Caulifigura","Genus:Caulifigura","Bacteria","Cyanobacteria","Sericytochromatia","UBA7694","UBA7694","GCA-2770975","Genus:GCA-2770975"
